ntwk,state,site_name,lat,lon,elev
SNTL,CO,Apishapa (303),37.33,-105.07,10000
SNTL,CO,Arapaho Ridge (1030),40.35,-106.35,10960
SNTL,CO,Bear Lake (322),40.31,-105.65,9500
SNTL,CO,Bear River (1061),40.06,-107.01,9080
SNTL,CO,Beartown (327),37.71,-107.51,11600
SNTL,CO,Beaver Ck Village (1041),39.6,-106.51,8500
SNTL,CO,Berthoud Summit (335),39.8,-105.78,11300
SNTL,CO,Bison Lake (345),39.76,-107.36,10880
SNTL,CO,Black Mesa (1185),37.79,-108.18,11580
SNTL,CO,Black Mountain (1161),40.89,-105.66,8920
SNTL,CO,Brumley (369),39.09,-106.54,10600
SNTL,CO,Buckskin Joe (938),39.3,-106.11,11150
SNTL,CO,Buffalo Park (913),40.23,-106.6,9240
SNTL,CO,Burro Mountain (378),39.88,-107.6,9400
SNTL,CO,Butte (380),38.89,-106.95,10160
SNTL,CO,Cascade #2 (387),37.66,-107.8,8920
SNTL,CO,Cascade (386),37.65,-107.81,8880
SNTL,CO,Chapman Tunnel (1101),39.26,-106.63,10110
SNTL,CO,Cochetopa Pass (1059),38.16,-106.6,10020
SNTL,CO,Columbine (408),40.39,-106.6,9160
SNTL,CO,Columbine Pass (409),38.42,-108.38,9400
SNTL,CO,Columbus Basin (904),37.44,-108.02,10785
SNTL,CO,Copeland Lake (412),40.21,-105.57,8600
SNTL,CO,Copper Mountain (415),39.49,-106.17,10550
SNTL,CO,Crosho (426),40.17,-107.06,9100
SNTL,CO,Culebra #2 (430),37.21,-105.2,10500
SNTL,CO,Cumbres Trestle (431),37.02,-106.45,10040
SNTL,CO,Deadman Hill (438),40.81,-105.77,10220
SNTL,CO,Dry Lake (457),40.53,-106.78,8400
SNTL,CO,Echo Lake (936),39.66,-105.59,10600
SNTL,CO,El Diente Peak (465),37.79,-108.02,10000
SNTL,CO,Elk River (467),40.85,-106.97,8700
SNTL,CO,Elkhead Divide (1252),40.8,-107.1,8780
SNTL,CO,Elliot Ridge (1120),39.86,-106.42,10520
SNTL,CO,Fool Creek (1186),39.87,-105.87,11150
SNTL,CO,Fremont Pass (485),39.38,-106.2,11400
SNTL,CO,Glen Cove (1057),38.88,-105.07,11460
SNTL,CO,Grayback (1058),37.47,-106.54,11620
